"value","value href","value 2","value href 2","value 3","value 4","value 5","value 6","value 7","greyText","value 8","value 9","value 10","value 11","staticStar","value 12","value href 3","value 13","value href 4","value 14","greyText 4","greyText 5","value 15","value 16","date_read_value","darkGreyText","value href 5","value src"
"Spirits in the Stars","https://www.goodreads.com/book/show/10433020-spirits-in-the-stars","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0060871407","9780060871406","0060871407","304","pp","4.21","3,345","2010","Feb 08, 2011","","0","https://www.goodreads.com/review/show/7128065464","0","https://www.goodreads.com/rating/voters/7128065464?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Seekers, #6)","https://www.goodreads.com/book/show/10433020-spirits-in-the-stars","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347541219l/10433020._SX50_.jpg"
"Fire in the Sky","https://www.goodreads.com/book/show/7023788-fire-in-the-sky","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0060871342","9780060871345","0060871342","272","pp","4.18","3,722","2010","May 11, 2010","","0","https://www.goodreads.com/review/show/7128064950","0","https://www.goodreads.com/rating/voters/7128064950?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Seekers, #5)","https://www.goodreads.com/book/show/7023788-fire-in-the-sky","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265056823l/7023788._SX50_.jpg"
"A Hidden Enemy","https://www.goodreads.com/book/show/16065469-a-hidden-enemy","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","006210263X","9780062102638","B009NG12VS","293","pp","4.26","3,934","Apr 29, 2013","May 07, 2013","","0","https://www.goodreads.com/review/show/7128064316","0","https://www.goodreads.com/rating/voters/7128064316?resource_type=Review","1","not set","not set","Dec 28, 2024","Kindle Edition","","(Survivors, #2)","https://www.goodreads.com/book/show/16065469-a-hidden-enemy","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361148785l/16065469._SY75_.jpg"
"The Last Wilderness","https://www.goodreads.com/book/show/6616667-the-last-wilderness","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0060871318","9780060871314","0060871318","288","pp","4.16","4,306","Jan 01, 2010","Feb 09, 2010","","0","https://www.goodreads.com/review/show/7128063894","0","https://www.goodreads.com/rating/voters/7128063894?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Seekers, #4)","https://www.goodreads.com/book/show/6616667-the-last-wilderness","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347514592l/6616667._SY75_.jpg"
"Moth Flight's Vision","https://www.goodreads.com/book/show/24892804-moth-flight-s-vision","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0062291505","9780062291509","0062291505","528","pp","4.42","5,036","Nov 03, 2015","Nov 03, 2015","","0","https://www.goodreads.com/review/show/7128063761","0","https://www.goodreads.com/rating/voters/7128063761?resource_type=Review","1","not set","not set","Dec 28, 2024","ebook","","(Warriors Super Edition, #8)","https://www.goodreads.com/book/show/24892804-moth-flight-s-vision","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433961202l/24892804._SY75_.jpg"
"Smoke Mountain","https://www.goodreads.com/book/show/4955576-smoke-mountain","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0060871288","9780060871284","0060871288","288","pp","4.10","5,329","Jan 01, 2009","May 12, 2009","","0","https://www.goodreads.com/review/show/7128062109","0","https://www.goodreads.com/rating/voters/7128062109?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Seekers, #3)","https://www.goodreads.com/book/show/4955576-smoke-mountain","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347509445l/4955576._SY75_.jpg"
"Warriors: Battles of the Clans","https://www.goodreads.com/book/show/6966342-warriors","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0061702307","9780061702303","B00BG7EPWK","208","pp","4.20","5,590","2010","Jun 01, 2010","","0","https://www.goodreads.com/review/show/7128061969","0","https://www.goodreads.com/rating/voters/7128061969?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Warriors Field Guide #4)","https://www.goodreads.com/book/show/6966342-warriors","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1259442912l/6966342._SY75_.jpg"
"Shattered Sky","https://www.goodreads.com/book/show/30653889-shattered-sky","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","006238645X","9780062386458","006238645X","285","pp","4.45","6,311","Apr 11, 2017","Apr 11, 2017","","0","https://www.goodreads.com/review/show/7128061871","0","https://www.goodreads.com/rating/voters/7128061871?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Warriors: A Vision of Shadows, #3)","https://www.goodreads.com/book/show/30653889-shattered-sky","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470638543l/30653889._SY75_.jpg"
"Thunder and Shadow","https://www.goodreads.com/book/show/28217787-thunder-and-shadow","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0062386441","9780062386441","0062386441","352","pp","4.34","6,640","Sep 06, 2016","Sep 06, 2016","","0","https://www.goodreads.com/review/show/7128061765","0","https://www.goodreads.com/rating/voters/7128061765?resource_type=Review","1","not set","not set","Dec 28, 2024","ebook","","(Warriors: A Vision of Shadows, #2)","https://www.goodreads.com/book/show/28217787-thunder-and-shadow","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461535213l/28217787._SY75_.jpg"
"A Forest Divided","https://www.goodreads.com/book/show/22693143-a-forest-divided","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0062063626","9780062063625","0062063626","335","pp","4.32","6,764","Apr 07, 2015","Apr 07, 2015","","0","https://www.goodreads.com/review/show/7128061650","0","https://www.goodreads.com/rating/voters/7128061650?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Warriors: Dawn of the Clans, #5)","https://www.goodreads.com/book/show/22693143-a-forest-divided","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413750403l/22693143._SY75_.jpg"
"Path of Stars","https://www.goodreads.com/book/show/23718630-path-of-stars","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0062063693","9780062063694","0062063693","352","pp","4.46","6,640","Sep 01, 2015","Sep 01, 2015","","0","https://www.goodreads.com/review/show/7128061550","0","https://www.goodreads.com/rating/voters/7128061550?resource_type=Review","1","not set","not set","Dec 28, 2024","Kindle Edition","","(Warriors: Dawn of the Clans, #6)","https://www.goodreads.com/book/show/23718630-path-of-stars","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427160197l/23718630._SY75_.jpg"
"Hollyleaf's Story","https://www.goodreads.com/book/show/12974717-hollyleaf-s-story","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0062125931","9780062125934","0062125931","144","pp","4.36","6,215","Mar 13, 2012","Mar 13, 2012","","0","https://www.goodreads.com/review/show/7128061461","0","https://www.goodreads.com/rating/voters/7128061461?resource_type=Review","1","not set","not set","Dec 28, 2024","ebook","","(Warriors Novellas, #1)","https://www.goodreads.com/book/show/12974717-hollyleaf-s-story","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324844961l/12974717._SX50_.jpg"
"Bramblestar's Storm","https://www.goodreads.com/book/show/17681750-bramblestar-s-storm","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0062291440","9780062291448","0062291440","512","pp","4.29","6,948","Aug 21, 2014","Aug 26, 2014","","0","https://www.goodreads.com/review/show/7128061281","0","https://www.goodreads.com/rating/voters/7128061281?resource_type=Review","1","not set","not set","Dec 28, 2024","Library Binding","","(Warriors Super Edition, #7)","https://www.goodreads.com/book/show/17681750-bramblestar-s-storm","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382662264l/17681750._SY75_.jpg"
"Great Bear Lake","https://www.goodreads.com/book/show/3427378-great-bear-lake","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0060871253","9780060871253","0060871253","320","pp","4.07","6,795","Jan 01, 2009","Feb 10, 2009","","0","https://www.goodreads.com/review/show/7128061148","0","https://www.goodreads.com/rating/voters/7128061148?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Seekers, #2)","https://www.goodreads.com/book/show/3427378-great-bear-lake","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347504166l/3427378._SX50_.jpg"
"Into the Woods","https://www.goodreads.com/book/show/2762488-into-the-woods","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0061547921","9780061547928","0061547921","85","pp","4.07","6,950","Sep 01, 2008","Sep 01, 2008","","0","https://www.goodreads.com/review/show/7128061051","0","https://www.goodreads.com/rating/voters/7128061051?resource_type=Review","1","not set","not set","Dec 28, 2024","Paperback","","(Warriors Manga: Tigerstar & Sasha, #1)","https://www.goodreads.com/book/show/2762488-into-the-woods","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388190456l/2762488._SX50_.jpg"
"The Blazing Star","https://www.goodreads.com/book/show/18588383-the-blazing-star","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","","","B0DTSQ9GLK","297","pp","4.33","7,444","Nov 04, 2014","Nov 04, 2014","","0","https://www.goodreads.com/review/show/7128060939","0","https://www.goodreads.com/rating/voters/7128060939?resource_type=Review","1","not set","not set","Dec 28, 2024","Unknown Binding","","(Warriors: Dawn of the Clans, #4)","https://www.goodreads.com/book/show/18588383-the-blazing-star","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382662133l/18588383._SY75_.jpg"
"The Empty City","https://www.goodreads.com/book/show/13455534-the-empty-city","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0062102567","9780062102560","0062102567","275","pp","4.02","7,998","Aug 21, 2012","Aug 21, 2012","","0","https://www.goodreads.com/review/show/7128060813","0","https://www.goodreads.com/rating/voters/7128060813?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Survivors, #1)","https://www.goodreads.com/book/show/13455534-the-empty-city","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339298032l/13455534._SY75_.jpg"
"Code of the Clans","https://www.goodreads.com/book/show/5498077-code-of-the-clans","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0061660094","9780061660092","0061660094","156","pp","4.19","7,527","Jun 01, 2009","Jun 09, 2009","","0","https://www.goodreads.com/review/show/7128060692","0","https://www.goodreads.com/rating/voters/7128060692?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","","https://www.goodreads.com/book/show/5498077-code-of-the-clans","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349599333l/5498077._SX50_.jpg"
"The First Battle","https://www.goodreads.com/book/show/17682406-the-first-battle","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0062063537","9780062063533","0062063537","291","pp","4.44","8,471","Apr 08, 2014","Apr 08, 2014","","0","https://www.goodreads.com/review/show/7128060589","0","https://www.goodreads.com/rating/voters/7128060589?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Warriors: Dawn of the Clans, #3)","https://www.goodreads.com/book/show/17682406-the-first-battle","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369328586l/17682406._SX50_.jpg"
"The Apprentice's Quest","https://www.goodreads.com/book/show/25776664-the-apprentice-s-quest","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0062386409","9780062386403","0062386409","352","pp","4.31","9,257","2016","Mar 15, 2016","","0","https://www.goodreads.com/review/show/7128060494","0","https://www.goodreads.com/rating/voters/7128060494?resource_type=Review","1","not set","not set","Dec 28, 2024","Kindle Edition","","(Warriors: A Vision of Shadows, #1)","https://www.goodreads.com/book/show/25776664-the-apprentice-s-quest","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436968640l/25776664._SY75_.jpg"
"Thunder Rising","https://www.goodreads.com/book/show/15851920-thunder-rising","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0062063545","9780062063540","0062063545","357","pp","4.32","9,219","Nov 05, 2013","Dec 03, 2013","","0","https://www.goodreads.com/review/show/7128060411","0","https://www.goodreads.com/rating/voters/7128060411?resource_type=Review","1","not set","not set","Dec 28, 2024","Kindle Edition","","(Warriors: Dawn of the Clans, #2)","https://www.goodreads.com/book/show/15851920-thunder-rising","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364224608l/15851920._SY75_.jpg"
"Tallstar's Revenge","https://www.goodreads.com/book/show/18911687-tallstar-s-revenge","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","","","B0DWV5WM91","549","pp","4.48","8,975","Jan 01, 2013","Jul 02, 2013","","0","https://www.goodreads.com/review/show/7128060263","0","https://www.goodreads.com/rating/voters/7128060263?resource_type=Review","1","not set","not set","Dec 28, 2024","ebook","","(Warriors Super Edition, #6)","https://www.goodreads.com/book/show/18911687-tallstar-s-revenge","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385235297l/18911687._SY75_.jpg"
"The Rise of Scourge","https://www.goodreads.com/book/show/2083991.The_Rise_of_Scourge","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0061478679","9780061478673","0061478679","85","pp","4.29","10,344","Jul 01, 2008","Jul 01, 2008","","0","https://www.goodreads.com/review/show/7128060116","0","https://www.goodreads.com/rating/voters/7128060116?resource_type=Review","1","not set","not set","Dec 28, 2024","Paperback","","","https://www.goodreads.com/book/show/2083991.The_Rise_of_Scourge","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388201260l/2083991._SY75_.jpg"
"Warriors: Cats of the Clans","https://www.goodreads.com/book/show/2257948.Warriors","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0061458562","9780061458569","0061458562","90","pp","4.21","10,008","Jun 24, 2008","Jun 24, 2008","","0","https://www.goodreads.com/review/show/7128060011","0","https://www.goodreads.com/rating/voters/7128060011?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","(Warriors: Field Guide, #2)","https://www.goodreads.com/book/show/2257948.Warriors","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348887338l/2257948._SX50_.jpg"
"Warriors: Secrets of the Clans","https://www.goodreads.com/book/show/326911.Warriors","Hunter, Erin","https://www.goodreads.com/author/show/27498.Erin_Hunter","","0061239038","9780061239038","0061239038","168","pp","4.17","11,115","May 29, 2007","May 29, 2007","","0","https://www.goodreads.com/review/show/7128059823","0","https://www.goodreads.com/rating/voters/7128059823?resource_type=Review","1","not set","not set","Dec 28, 2024","Hardcover","","","https://www.goodreads.com/book/show/326911.Warriors","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363489430l/326911._SX50_.jpg"
